symbol,composite_score,factor_momentum_6_1,factor_ivol,rank,percentile
GOOGL,1.1080896913360867,0.2357020747226474,-0.014084136455430031,1.0,100.0
JNJ,0.9237714499673034,0.0607015649781139,0.1240527250153468,2.0,98.0
MRK,0.6925639476381265,0.13822640619315577,0.0002863833344695379,3.0,96.0
CAT,0.6678100465661525,0.15395735458190207,-0.020395345268671577,4.0,94.0
AAPL,0.5488952233206353,0.12491455589701453,-0.015135511232887464,5.0,92.0
BAC,0.5062791979137632,0.06341626211811645,0.03783957746463619,6.0,90.0
MS,0.4863527702175178,0.10026737918243885,-0.0029968251389352815,7.0,88.0
XOM,0.447810898654699,0.02099232100399956,0.06856985872694024,8.0,86.0
C,0.44574608066203925,0.10157057155045562,-0.012421355418047772,9.0,84.0
LMT,0.41560207981901426,0.03766151822135334,0.04545889774244952,10.0,82.0
WFC,0.412403618836749,0.06785676633079749,0.014623957436552319,11.0,80.0
GS,0.3835730817783632,0.08687462664803151,-0.010160010292358874,12.0,78.0
ABBV,0.37385987402626847,0.025960183421573624,0.04881179138368008,13.0,76.0
UPS,0.3554790277107073,0.06234885961253661,0.008746945929604844,14.0,74.0
TMO,0.35404444739654606,0.08665490939858848,-0.015846019919279274,15.0,72.0
KO,0.34791004198109754,-0.06691571083388585,0.13649771923010537,16.0,70.0
LLY,0.3299126967754025,0.16980115065970858,-0.10381861130462806,17.0,68.0
BMY,0.3181057006798009,0.047980008904522795,0.015641131231437393,18.0,66.0
AXP,0.3100828184712626,0.07594405025787561,-0.01392748656362308,19.0,64.0
WMT,0.29940813189632404,0.005434540740043029,0.054447085639221786,20.0,62.0
MCD,0.2953405087537277,-0.07210552507285055,0.1311736268235961,21.0,60.0
UNP,0.22315043171525792,-0.0428636057071598,0.08749369205021139,22.0,57.99999999999999
JPM,0.21871092775854326,-0.01006338425109786,0.05380556980280651,23.0,56.00000000000001
PEP,0.16336934154445484,-0.053623113566941986,0.08629698187583296,24.0,54.0
PFE,0.1275357496427281,-0.023622481195713682,0.049129631124259304,25.0,52.0
PG,0.09091964064124734,-0.10909913986523818,0.12728306799348765,26.0,50.0
CVX,0.07594629106743689,-0.04388993418083416,0.059079192394321536,27.0,48.0
GE,0.07227971609788691,0.021530225214725942,-0.007074281995148559,28.0,46.0
V,0.050011900624802735,-0.06731016946572188,0.07731254959068243,29.0,44.0
AMGN,0.04974963693457464,-0.01593872033810235,0.02588864772501728,30.0,42.0
MA,-0.020531732993716925,-0.08349423916317807,0.07938789256443468,31.0,40.0
MMM,-0.05598383051071029,-0.014493579055405884,0.003296812953263826,32.0,38.0
ABT,-0.12969181132168806,-0.10127101600659544,0.07533265374225782,33.0,36.0
COST,-0.23899360458499114,-0.140060714347971,0.09226199343097276,34.0,34.0
HD,-0.24513453266203958,-0.12592282383602557,0.07689591730361765,35.0,32.0
UNH,-0.2559896417011066,0.1723166298110342,-0.22351455815125554,36.0,30.0
HON,-0.267560165694134,-0.10621667246165883,0.05270463932283203,37.0,28.000000000000004
BLK,-0.2795622422126995,-0.0883215949590956,0.032409146516555694,38.0,26.0
AMZN,-0.40490850068644374,-0.03495014984850513,-0.04603155028878363,39.0,24.0
MSFT,-0.4571333709054176,-0.14586369927445247,0.05443702509336895,40.0,22.0
ADBE,-0.48600380902650137,-0.08708501734743626,-0.010115744457864019,41.0,20.0
CRM,-0.505258803991068,-0.07208068537266404,-0.028971075425549588,42.0,18.0
TGT,-0.5109057852429801,-0.05855980448366256,-0.04362135256493348,43.0,16.0
BA,-0.704594868333166,-0.06250552782152945,-0.07841344584510375,44.0,14.000000000000002
SBUX,-0.7175957564877733,-0.10838799487133953,-0.03513115642621513,45.0,12.0
TSLA,-0.8192980632690497,0.17369730413958503,-0.337556916793395,46.0,10.0
NVDA,-0.9750423266826548,-0.047527977510108156,-0.1474804878264228,47.0,8.0
AMD,-1.2443777710625807,0.08189005480589068,-0.33076560901840685,48.0,6.0
META,-1.3328159805143314,-0.1693098639689399,-0.09725333213392637,49.0,4.0
NKE,-1.4433323725454805,-0.1642161735879961,-0.12445030092110002,50.0,2.0
